geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
AIF1	BS_B9V8RGTA	6.318026326665304e-9	2.9579653940564845e-5	4.6	1.07	813	1268.77	600.28	50.96	TRUE	111	1	35
CAND1	BS_2HNXVFAS	1.2502795255100195e-8	2.9691882306033614e-5	-6.11	-0.72	3507	4486.07	7369.96	160.61	TRUE	170	4	69
MYCN	BS_JRYJGYC4	4.7148885069380365e-9	2.9715140041340194e-5	3.7	2.94	14661	5472.17	713.63	3.51	TRUE	45	3	26
LGALS8	BS_P39SQPTS	2.9035354555522152e-9	2.973629474872538e-5	-7.81	-2.46	37	335.27	1886.51	25.09	TRUE	53	4	16
YES1	BS_FBJ5Q54N	4.528509165558804e-9	2.97662476594863e-5	-6.99	-1.95	443	627.47	2428.4	29.61	TRUE	89	6	24.5
PBX3	BS_FBJ5Q54N	4.541343971881956e-9	2.97662476594863e-5	-8.41	-5.3	49	30.73	1229.48	6.82	TRUE	89	4	24.5
FIS1	BS_4B0BAVTX	8.2000667576103e-9	2.9859640602064965e-5	-6.25	-0.91	1907	1429.59	2691.61	106.61	TRUE	189	2	45
KDM8	BS_2HN96129	1.8246943148655563e-10	2.9899905851349053e-5	5.49	1.07	445	555.91	264.58	71.22	TRUE	24	3	1
AGFG2	BS_P7EY9DXG	3.472340814074132e-9	2.9946663734529185e-5	4.89	1.47	4934	3883.67	1404.93	23.03	TRUE	84	3	19
FAM117A	BS_V4W81SFC	5.501984026563295e-10	3.0052303930149876e-5	4.9	1.79	17067	1916.83	554.32	15.5	TRUE	25	1	3
ZNF585B	BS_RX1YTZ7F	2.2022025302555976e-9	3.0071543026782063e-5	5.26	0.87	3764	3110	1696.63	80.45	TRUE	102	8	12
APOA1	BS_JX7S9MY7	3.679054063033391e-10	3.0142958524761628e-5	3.87	3.38	822	129.92	12.46	2.65	TRUE	11	2	2
ZNF516	BS_4D9DD103	3.3126157434870292e-9	3.015631411215814e-5	-7.96	-4.23	116	191.93	3637.95	9.32	TRUE	59	5	18
SH3BGRL	BS_4CP4T22V	2.7708315695022724e-9	3.026903461148337e-5	-6.89	-2.18	442	630.51	2849.66	25.39	TRUE	86	7	15
YDJC	BS_GWSJ4Z9H	3.326698732927423e-9	3.0284518252356923e-5	4.15	1.43	1878	966.92	357.4	25.05	TRUE	31	2	18
GNB3	BS_A89VAPVV	2.0343939390733176e-9	3.0305543009830946e-5	4.27	2.32	5893	975.39	195.57	7.3	TRUE	29	2	11
BOP1	BS_CZ3ER8DY	3.6998495716900927e-10	3.031333877582634e-5	5.38	1.21	9844	3878.35	1668.11	40.54	TRUE	11	7	2
FLT4	BS_3PYESPHA	7.410338801134827e-10	3.035692481138345e-5	4.57	2.08	793	2291.64	539.89	10.64	TRUE	25	6	4
TRIP12	BS_QX12J6W1	8.338786630846962e-9	3.036477375300749e-5	5.35	0.53	33003	16931.88	11726.81	216.83	TRUE	178	6	45
ELL	BS_G1Y281HX	9.275675592567188e-10	3.0398716614168863e-5	5.44	0.87	3008	2163.54	1178.12	84.61	TRUE	26	2	5
PYGB	BS_6NRTJSYK	2.4999342864629723e-9	3.0407526857112556e-5	-7.57	-2.58	667	1525.09	9150.5	19.29	TRUE	74	2	13.5
UNC119	BS_6NRTJSYK	2.597941890706931e-9	3.0407526857112556e-5	-7.31	-2.21	141	304.9	1416.66	26.09	TRUE	74	5	13.5
HIST1H2AI	BS_8SKZ7BRN	9.316728065875649e-10	3.053325587117076e-5	-7.57	-5.56	129	10.88	514.11	6.87	TRUE	20	13	5
