geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
CECR2	BS_1EN5V3XW	3.110587618549737e-8	4.995981900786111e-4	-7.17	-3.87	139	170.29	2517.37	9.27	TRUE	31	1	10
ACOT2	BS_8ZD6J47V	1.0476709841697448e-7	5.099051443837128e-4	-7.51	-4.56	4	27.56	812.97	8.54	TRUE	62	2	33
SUMF2	BS_YA0KMBRT	8.592312882452063e-8	5.11122190482952e-4	4.33	2.08	130614	15793.92	3785.86	7.79	TRUE	48	1	26.5
LRP1B	BS_YA0KMBRT	8.565887717947109e-8	5.11122190482952e-4	-7.57	-8.77	36	9.22	4023.94	3.06	TRUE	48	2	26.5
HDAC11	BS_B4R7X1KE	1.59150841518626e-8	5.112312020920626e-4	-7.05	-3.01	123	103.2	836.01	14.12	TRUE	29	1	5
IL16	BS_52MPKTJH	1.7513681835600902e-8	5.140473804406998e-4	4.05	2.43	19229	2394.2	454.35	5.63	TRUE	31	1	5.5
POLB	BS_52MPKTJH	1.9203305160435046e-8	5.140473804406998e-4	4.63	1.6	3093	1312.54	435.05	16.89	TRUE	31	1	5.5
EXOC1	BS_W60RQAKK	3.2477684619051363e-9	5.216311013668546e-4	5.1	1.72	12892	7020.72	2136.01	15.6	TRUE	7	2	1
DFNA5	BS_B4R7X1KE	1.949764700205996e-8	5.219265268364524e-4	-7.25	-3.61	87	117.94	1470.79	10.66	TRUE	29	1	6
ZNF516	BS_1EN5V3XW	3.598487976126853e-8	5.254190176367604e-4	-6.93	-3.75	411	292.05	3981.42	9.51	TRUE	31	1	11
STAT5A	BS_8ZD6J47V	1.1235796905069238e-7	5.307663493611769e-4	-7.11	-3.65	18	58.13	768.61	10.24	TRUE	62	1	34
ICA1L	BS_84XCR9GG	5.965621695976672e-8	5.323063191287189e-4	-6.74	-2.68	103	161.41	1052.61	15.76	TRUE	55	1	18
HDX	BS_4B0BAVTX	7.655898740360728e-8	5.346219209375519e-4	-6.22	-2.53	58	64.67	380.9	17.77	TRUE	54	2	23
ZNF671	BS_WJ9H4NZZ	6.819594252159815e-9	5.476548747786166e-4	-6.74	-2.84	122	95.59	688.79	16.27	TRUE	5	2	2
PATZ1	BS_4PWDGEB0	6.872745937854457e-9	5.519232782491241e-4	5.07	1.19	16937	7123.71	3149.51	36.07	TRUE	21	1	2
MYH3	BS_5965SFPZ	1.0387123342606553e-8	5.560994318397198e-4	4.12	2.75	1707	1317.28	204.57	4.11	TRUE	8	1	3
RELL1	BS_PS0P3QJ3	3.466646981400026e-9	5.567856527238475e-4	-9.63	-6.39	0	0	896.9	8.49	TRUE	5	1	1
CLIP4	BS_84XCR9GG	6.605025804661141e-8	5.583407621919521e-4	-6.6	-3.13	74	153.78	1360.8	12.34	TRUE	55	2	19
PLA2G15	BS_HJRTC9JQ	1.4200480180395885e-8	5.70192441619816e-4	4.85	1.27	14986	2348.98	970.4	29.49	TRUE	24	1	4
EID2	BS_X4DD4KSZ	2.174559275900195e-8	5.821010966865227e-4	4.71	1.28	4299	1525.12	634.82	28.92	TRUE	33	2	6
ATP6V0A2	BS_BMMY0H73	7.299530949645642e-9	5.861967091230895e-4	4.9	1.44	6615	4916.7	1814.75	22.81	TRUE	13	1	2
TRIM16	BS_H97S5SQN	9.138976748771406e-8	5.871323110307299e-4	4.31	1.74	6079	3837.24	1187.1	12.3	TRUE	36	1	25
TCEAL3	BS_4B0BAVTX	8.90155209123055e-8	5.957072879023386e-4	-6.36	-2.37	271	305.46	1601.39	18.07	TRUE	54	1	24
MRPL51	BS_MD0937XT	3.810325486410068e-9	6.119845990734098e-4	5.14	1.52	1456	5123.46	1798.65	21.41	TRUE	2	1	1
GALC	BS_A0DYVX9J	1.620940773416131e-7	6.198637990869151e-4	-6.48	-2.89	63	213.51	1607.25	13.31	TRUE	75	1	41.5
GHDC	BS_A0DYVX9J	1.5980017275055659e-7	6.198637990869151e-4	-6.32	-2.3	49	178.59	896.01	20.58	TRUE	75	1	41.5
ZNF626	BS_8ZD6J47V	1.35769245387694e-7	6.230340426404289e-4	-7.87	-4.87	2	17.45	756.92	8.29	TRUE	62	1	35
ZNF827	BS_8ZE4Z9G5	3.178967086349941e-8	6.382259549565359e-4	-6.7	-2.34	446	653.85	3318.76	19.5	TRUE	26	1	8
SMC3	BS_XZM79E42	1.9884295266668543e-8	6.3873191463727e-4	4.55	1.64	9055	9806.01	3162.77	15.67	TRUE	5	1	5
TMEM147	BS_Q13FQ8FV	4.009699419523195e-8	6.440064767206348e-4	4.93	1.55	398	4792.12	1636.41	18.65	TRUE	35	2	9.5
MYL5	BS_Q13FQ8FV	3.818180322923679e-8	6.440064767206348e-4	4.34	1.86	192	828.72	226.41	12.4	TRUE	35	1	9.5
ZNF260	BS_X4DD4KSZ	2.857098890533392e-8	6.555497406314108e-4	4.75	1.41	14670	4914.89	1857.56	22.04	TRUE	33	1	7
TBCE	BS_6VPKXXMR	3.347259597370297e-8	6.720132341703405e-4	-6.4	-1.5	176	228.9	655.49	44.46	TRUE	23	1	8
PRSS23	BS_AWH9757B	2.118729219319396e-8	6.805873442858712e-4	4.09	2.63	9448	8681.73	1414.09	4.47	TRUE	13	1	5
LAPTM5	BS_DRY58DTF	4.258642898140865e-9	6.839898260426665e-4	-7.7	-2.93	14	583.73	4681.19	21.49	TRUE	1	2	1
CASC1	BS_A0DYVX9J	1.8473137324270272e-7	6.900024304120936e-4	3.82	2.16	783	327.61	72.85	6.7	TRUE	75	1	43
ANKRD17	BS_TGS109T3	5.063880936820947e-9	6.916846614128582e-4	5.09	1.16	33648	22625.39	10078.21	39.39	TRUE	4	1	1.5
OCIAD1	BS_TGS109T3	8.613104636720405e-9	6.916846614128582e-4	5.08	1.1	9337	7767.24	3637.78	42.73	TRUE	4	1	1.5
FLII	BS_H97S5SQN	1.1495446618900902e-7	7.101186494968696e-4	4.63	1.28	13593	10607.41	4443.48	25.43	TRUE	36	1	26
AFDN	BS_RJC3WDD6	1.3613674047445557e-8	7.288405223785329e-4	-6.78	-2.45	1773	1030.77	5640.58	18.91	TRUE	13	1	3
AGL	BS_M0XGZ53Z	5.0010625165938426e-8	7.302104028250703e-4	-6.73	-2.67	67	251.69	1606.95	16.52	TRUE	22	1	10.5
FAM184A	BS_M0XGZ53Z	4.863351052125654e-8	7.302104028250703e-4	-7.26	-4.9	10	20.76	696.8	7.07	TRUE	22	1	10.5
TMEM185B	BS_23QW0BBA	2.3003964671229688e-8	7.389432817029584e-4	-6.6	-2.14	317	273.29	1225.62	23.2	TRUE	14	1	5
CENPV	BS_A0DYVX9J	2.0406247000680416e-7	7.448844017182725e-4	-7.21	-7.78	5	4.52	1221.98	3.45	TRUE	75	1	44
MAGT1	BS_4B0BAVTX	1.1775543478062748e-7	7.565181798768964e-4	-6.12	-2.65	845	415.84	2590.8	14.7	TRUE	54	2	25
MYL12A	BS_40MP5BWR	9.485828952052775e-9	7.617697292273008e-4	-7.29	-3.06	60	246.55	2097.84	14.64	TRUE	8	1	2
ZNF883	BS_FYRDYBMZ	2.3903758678037198e-8	7.678468531416053e-4	-7.75	-4.41	13	33.43	761.64	8.6	TRUE	12	1	5
NDUFA4L2	BS_G3RJTBZD	1.2809436318121682e-8	7.691117255644302e-4	4.04	2.71	31649	5178.01	778.38	4.22	TRUE	8	1	3
HPN	BS_G3RJTBZD	1.8127452120890676e-8	7.691117255644302e-4	3.7	3.3	1101	228.02	23.17	2.29	TRUE	8	1	3
CACNA2D4	BS_G3RJTBZD	1.915450822946897e-8	7.691117255644302e-4	3.92	2.38	1132	430.22	82.3	6.03	TRUE	8	1	3
BEST4	BS_MWWZBQ60	4.806495230417525e-9	7.71981571397641e-4	3.86	2.86	660	241.02	33.83	3.9	TRUE	2	1	1
PRELID3B	BS_MN5XVP5A	2.4041770038841007e-8	7.72280113639184e-4	-6.69	-2.34	236	304.51	1545.88	20.14	TRUE	10	1	5
PBDC1	BS_2HNXVFAS	1.9268354296601555e-8	7.736829911950641e-4	-6.85	-2.2	83	111.21	515.7	24.29	TRUE	24	1	4
HNRNPA0	BS_51RA1PGE	1.4698394516065942e-8	7.869136208109368e-4	5.03	1	16933	14454.95	7278.5	51.83	TRUE	11	1	3
CCDC77	BS_Z3RCA1T9	1.9702765188108907e-8	7.911259088815217e-4	4.73	1.91	6956	1885.79	510.01	10.68	TRUE	30	2	4
SMC6	BS_WJ9H4NZZ	1.4807551937774111e-8	7.927576238318703e-4	4.86	1.51	6483	3717.45	1329.74	19.68	TRUE	5	1	3
ZCCHC18	BS_4B0BAVTX	1.2862233331744962e-7	7.945504046823754e-4	-7.47	-4.54	7	9.78	257.46	7.78	TRUE	54	1	26
MRPL35	BS_6VPKXXMR	5.133172137229268e-8	8.244498543710423e-4	-6.19	-1.56	443	426.52	1262.93	37.57	TRUE	23	1	9.5
ABRACL	BS_6VPKXXMR	4.7139236092617506e-8	8.244498543710423e-4	-7.13	-3.73	32	13.49	186.01	10	TRUE	23	1	9.5
CEP78	BS_A0DYVX9J	2.3260398090865726e-7	8.302006074282474e-4	4.25	1.57	11601	6407.91	2135.78	14.66	TRUE	75	1	45
LOXL1	BS_8ZD6J47V	1.8837661351867964e-7	8.404326226358631e-4	-8.25	-9.95	11	0.58	609.84	2.53	TRUE	62	1	36
SLX4IP	BS_Z8YZ6QGS	1.0545744049594188e-8	8.468873547863535e-4	4.03	2.01	8545	3568.12	892.25	9.68	TRUE	15	2	2
GRAMD1A	BS_Q13FQ8FV	5.805552039409491e-8	8.476747649630316e-4	4.74	1.37	1535	6979.76	2723.36	23.26	TRUE	35	1	11
SGCB	BS_M0XGZ53Z	6.402303101967011e-8	8.569064311736819e-4	4.42	2.1	9674	22500.38	5241.42	7.68	TRUE	22	2	12
RBMS1	BS_BWBDH9GM	3.20481303341486e-8	8.578865621650099e-4	-8.15	-6.66	7	14.72	1691.91	4.74	TRUE	26	1	5
VSTM4	BS_BWBDH9GM	2.6143519852459796e-8	8.578865621650099e-4	-7.91	-5.24	33	34.31	1356.41	6.3	TRUE	26	1	5
SYNDIG1	BS_BWBDH9GM	2.7123321027021563e-8	8.578865621650099e-4	-8.44	-8.22	1	1.29	759.99	3.91	TRUE	26	1	5
C15orf61	BS_8ZE4Z9G5	4.838296895635573e-8	8.634325616405127e-4	-8.74	-3.92	2	11.45	253.52	17.54	TRUE	26	1	9
MED19	BS_G3RJTBZD	2.7320294885457343e-8	8.775943037767338e-4	4.68	1.3	2902	1381.49	557.28	27.36	TRUE	8	1	5
ZSCAN12	BS_A0DYVX9J	2.541150227634077e-7	8.872600475542703e-4	-6.08	-2	122	193.48	779.48	23.33	TRUE	75	1	46
EXD3	BS_A0DYVX9J	2.686139996459497e-7	9.179292373077602e-4	4.26	1.63	1465	1865.95	602.19	13.4	TRUE	75	1	47
WFDC1	BS_AWH9757B	3.432683667749405e-8	9.188845527090397e-4	3.4	3.76	24542	2475.01	188.35	1.43	TRUE	13	1	6
ZNF181	BS_Q13FQ8FV	6.876315579665553e-8	9.203499036440273e-4	4.94	1.32	274	2147.32	863.81	29.35	TRUE	35	1	12
NAP1L5	BS_TRKH2SPE	5.8048595730806685e-8	9.323310229479169e-4	-6.37	-3.66	80	63.82	811.57	9.77	TRUE	11	2	10
MYO15A	BS_R7NTZR4C	4.110755535741697e-8	9.431961680372611e-4	3.81	2.93	1218	358.39	47.76	3.13	TRUE	16	1	7
ITPRIPL1	BS_A0DYVX9J	2.848628467744811e-7	9.531757615806243e-4	-6.45	-5.1	6	10.75	423.53	6.1	TRUE	75	2	48
EIF3D	BS_4KNBXM3C	1.1530626406252931e-7	9.747151527666443e-4	4.61	1.16	9359	9578.53	4300.07	31.7	TRUE	21	1	19
RAD52	BS_B1C6GZ84	3.6641609855344044e-8	9.808480052734328e-4	4.64	1.9	2642	2305.49	630.4	10.39	TRUE	12	2	6
ACAP1	BS_FX2P2WEG	1.2229492947622022e-8	9.821026268116689e-4	4.04	2.51	663	411.54	71.42	5.35	TRUE	4	1	2
GID4	BS_H97S5SQN	1.6713541874276764e-7	9.942214919751605e-4	4.43	1.53	4074	2321.8	814.59	16.18	TRUE	36	1	27
TRA2B	BS_PZVHMSYN	1.857678519397556e-8	9.945525195993268e-4	4.93	1.32	10255	12965.03	5208.14	26.83	TRUE	3	1	3
WNK1	BS_B1C6GZ84	4.3681820610040443e-8	0.001002261639108818	4.58	1.78	154231	86757.1	25512.09	12.14	TRUE	12	2	7
ANKS6	BS_A0DYVX9J	3.0749361926492407e-7	0.0010079023216913886	-6.47	-2.36	65	285.78	1465.98	18.01	TRUE	75	2	49
SCGB2B2	BS_Q13FQ8FV	8.194872756361869e-8	0.001012458613826833	3.8	2	77	149.85	35.78	11.44	TRUE	35	1	13
STK11	BS_PXCPK5XS	6.372825390604727e-8	0.001023553238573476	4.72	1.14	10738	6422.95	2937.89	34.77	TRUE	25	1	10
POLD3	BS_2HNXVFAS	3.204209090282337e-8	0.0010292698733783583	4.81	1.15	2012	1904.07	853.38	36.26	TRUE	24	1	5
COBL	BS_YA0KMBRT	1.8239210191623446e-7	0.0010462281818506057	3.35	2.9	217073	25665.38	3448.39	2.89	TRUE	48	1	28
TSPAN9	BS_M0XGZ53Z	8.475415538847532e-8	0.001047119061294312	4.14	2.44	3071	8844.91	1675.17	5.05	TRUE	22	2	13
WAPL	BS_B1C6GZ84	5.317945050812526e-8	0.001067658288453129	4.82	1.01	10580	6365.06	3162.68	46.18	TRUE	12	1	8
STAC3	BS_5965SFPZ	2.6746109764241692e-8	0.001073937601867729	4.39	2	327	374.54	95.82	9.93	TRUE	8	1	4
PSMD8	BS_Q13FQ8FV	9.47429677392314e-8	0.001086919464599074	5.04	1.1	400	7594.15	3542.41	43.43	TRUE	35	2	14
ZBTB18	BS_VVTHDRBD	1.6263319719780276e-7	0.001088369531882348	4.19	1.89	16177	14222.19	3882.16	9.43	TRUE	36	1	24
TOMM20	BS_6VPKXXMR	7.557056830030856e-8	0.0011034138233063284	-6.2	-1.69	1911	2310.5	7376.49	31.11	TRUE	23	1	11
CASP9	BS_AWH9757B	4.866243517088083e-8	0.0011165398180812787	4.59	1.56	3140	2296.91	786.41	16.86	TRUE	13	1	7
CD4	BS_BWBDH9GM	4.867360071277647e-8	0.001116796006906872	-7.27	-3.31	16	139.08	1477.21	13.27	TRUE	26	1	7
SLC23A2	BS_29X4ZX6Q	4.3375326205282505e-8	0.0011611007909995209	-6.42	-2.06	1478	1282.18	5357.79	23.21	TRUE	11	1	6
LSM14A	BS_Q13FQ8FV	1.1091079874204177e-7	0.001187574848800468	4.92	1.02	775	8837.01	4361.1	46.81	TRUE	35	1	15
ADPRM	BS_H97S5SQN	2.0899610132797748e-7	0.0011988326731749365	4.18	1.56	1599	678.93	234.4	15.22	TRUE	36	1	28
ATAD1	BS_TXZ7KHTQ	7.572062581177987e-9	0.0012161653117111865	-6.67	-3.37	130	171.39	1781.32	12.39	TRUE	2	3	1
